Cruz Chacon
Centeno Sanchez
Arriaga Utrera
Garces Molina
Yepez Colmenares
Melian Arias
Torres Hernandez
Leal Mangano
Rivas Serio
González Cedillo
Pinto Alvarado
Vela Perdomo
Torres Hernandez
Suarez Sanchez
Lezama Reyes
Arnos Navarro
Torres Mora
Tosone Ohep
Perez Colmenares
Ibarra Ramirez
Flores Santana
Fung Ng
Martinez Bolivar
Chacon Pereira
Pino Yendis
Parra Espinoza
Rizzo Correa
Parra Salgado
Silvera Gonzalez
Rodriguez Reveron
Fagundez Camara
Antolines Quiñones
Zapata Cisneros
Valero Rojas
Bracho Perez
